floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price,wallsMaterial
11,13.0,40.0,23.0,55.766116,37.567051,19990000,5
1,5.0,42.3,6.0,55.786252000000005,37.590138,10600000,4
5,12.0,40.0,7.0,55.77715500000001,37.706919,8100000,3
3,12.0,40.0,7.0,55.768061,37.678514,10000000,4
2,5.0,41.5,7.2,55.756715,37.553055,10000000,1
3,5.0,41.0,6.0,55.761943,37.564859000000006,10850000,1
24,42.0,40.0,10.0,55.75133,37.526887,11500000,5
9,14.0,42.0,8.3,55.778325,37.638647,12000000,1
4,5.0,42.6,5.8,55.731495,37.563934,12000000,1
1,3.0,42.0,5.0,55.771899,37.624094,12500000,1
1,9.0,40.1,7.0,55.726092,37.568614,12999990,4
6,13.0,40.0,8.7,55.73741,37.631757,13400000,1
3,5.0,40.4,5.8,55.752308,37.642905,14900000,1
2,9.0,42.5,8.0,55.727516,37.632457,15750000,1
7,8.0,42.4,5.4,55.722745,37.580786,15900000,1
5,12.0,40.0,10.0,55.766111,37.567869,17900000,5
5,8.0,40.0,9.0,55.745878000000005,37.601007,26483149,1
5,9.0,42.0,5.5,55.773768,37.68791,10500000,1
8,12.0,40.0,7.0,55.757197,37.559775,11000000,4
5,14.0,42.0,7.0,55.722614,37.609236,11100000,5
7,9.0,42.1,6.0,55.732666,37.56547,12500000,1
10,12.0,41.0,8.0,55.783235,37.588476,13000000,1
1,5.0,44.0,6.0,55.762936,37.57112,10300000,1
6,6.0,44.0,8.0,55.721731000000005,37.572899,21000000,5
6,12.0,44.4,8.0,55.77088199999999,37.571031,12400000,3
2,5.0,44.0,6.0,55.75937,37.538431,10699999,1
6,12.0,44.0,6.0,55.77088199999999,37.571031,12400000,3
8,9.0,43.0,6.0,55.764967000000006,37.56547,13900000,1
5,5.0,44.9,8.0,55.75704,37.657071,16500000,6
4,5.0,43.1,5.0,55.76096999999999,37.571597,10500000,1
7,14.0,44.8,6.0,55.722274,37.609757,11450000,5
6,12.0,44.4,7.0,55.77088199999999,37.571031,12400000,3
6,12.0,44.4,7.0,55.77088199999999,37.571031,12500000,4
3,9.0,44.7,6.0,55.726239,37.636554,13200000,3
3,44.0,46.0,16.5,55.77080600000001,37.564212,13950000,5
8,12.0,45.0,6.3,55.734126,37.671705,10990000,3
2,9.0,47.0,12.0,55.770076,37.57298,13000000,1
31,44.0,45.4,15.0,55.77080600000001,37.564212,14600000,5
37,44.0,45.6,20.0,55.77080600000001,37.564212,15000000,5
44,44.0,45.5,14.0,55.77080600000001,37.564212,18000000,5
6,8.0,45.0,6.0,55.78651,37.59348,13250000,1
7,18.0,45.3,10.0,55.77120600000001,37.658212,16600000,5
3,13.0,45.0,14.0,55.760915,37.550208000000005,19250000,5
3,8.0,45.0,7.0,55.753134,37.521309,9000000,1
3,12.0,45.0,6.3,55.734846,37.679278,11000000,3
2,6.0,45.2,10.0,55.77629399999999,37.672163,13989000,1
4,8.0,46.0,8.0,55.772639,37.585754,14800000,1
13,16.0,47.3,20.0,55.77120600000001,37.658212,16950000,5
7,18.0,45.3,10.0,55.77120600000001,37.658212,17500000,5
3,6.0,46.0,9.0,55.754937,37.593686,18900000,1
2,6.0,46.9,9.3,55.76191800000001,37.649624,18900000,1
6,9.0,45.0,9.0,55.775115,37.615120000000005,20500000,1
8,12.0,45.0,6.3,55.734329,37.675109,10500000,3
4,17.0,45.0,8.0,55.740517,37.586338,14650000,3
2,7.0,46.2,9.4,55.77629399999999,37.672163,15300000,1
7,15.0,46.0,10.0,55.77120600000001,37.658212,16600000,2
4,6.0,45.0,8.0,55.755991,37.652688,18000000,1
1,12.0,46.0,9.0,55.764977,37.594387,18890000,1
1,12.0,46.0,9.0,55.76499200000001,37.593722,18890000,1
5,17.0,46.5,5.0,55.7621,37.550064,18900000,5
3,12.0,45.0,14.0,55.761249,37.547153,19250000,5
5,5.0,46.0,7.0,55.725478,37.563125,16000000,1
24,44.0,49.2,13.7,55.77080600000001,37.564212,14500000,2
4,9.0,48.3,7.3,55.762693000000006,37.565937,12200000,1
9,12.0,48.3,8.8,55.731815000000005,37.630122,13490000,4
4,7.0,49.5,10.0,55.77629399999999,37.672163,13400000,1
5,8.0,48.0,8.0,55.72229399999999,37.621534,14550000,1
74,95.0,49.2,9.8,55.749511,37.537083,23000000,5
7,14.0,49.8,7.0,55.757561,37.588844,23900000,3
1,5.0,49.2,6.3,55.76092,37.541198,9900000,1
38,44.0,49.5,14.0,55.77080600000001,37.564212,15500000,5
5,8.0,50.0,8.0,55.768841,37.586922,16000000,1
69,80.0,50.0,20.0,55.749511,37.537083,24500000,5
11,14.0,49.2,14.0,55.722142000000005,37.618569,28500000,1
3,13.0,48.0,9.0,55.744191,37.594863,30750000,1
4,10.0,50.0,9.0,55.740005,37.594638,34650000,1
1,5.0,50.9,8.8,55.786759,37.599049,9800000,1
4,16.0,52.0,9.0,55.787153,37.622819,13300000,3
3,19.0,50.0,10.0,55.771545,37.568956,17690000,5
5,9.0,52.0,8.0,55.742509,37.578442,18500000,1
9,14.0,52.9,9.0,55.778431000000005,37.611087,21300000,1
2,9.0,52.0,6.0,55.733939,37.676169,10500000,3
15,16.0,50.5,10.9,55.790651,37.640093,11400000,4
3,14.0,52.0,8.7,55.734141,37.683221,12000000,1
2,5.0,51.0,8.0,55.777889,37.664833,12300000,1
5,12.0,50.9,9.8,55.744059,37.673735,12499000,4
3,12.0,51.5,9.8,55.726507,37.633787,12890000,3
1,4.0,50.0,6.6,55.767073,37.568632,13200000,1
3,5.0,51.6,9.8,55.72306999999999,37.631613,13490000,1
8,16.0,50.0,11.0,55.790651,37.640093,13700000,4
4,5.0,50.6,6.3,55.774467,37.581613,14990000,1
5,16.0,51.0,10.0,55.76463199999999,37.582592,15700000,1
1,3.0,50.7,7.2,55.77717,37.608868,16800000,1
5,8.0,51.0,8.0,55.774958,37.672971,17340000,5
20,24.0,51.3,7.3,55.753022,37.58888,18500000,4
7,8.0,51.7,12.0,55.771829,37.586383000000005,18700000,1
9,14.0,51.0,8.5,55.738465000000005,37.629888,21650000,1
5,5.0,50.0,4.5,55.762176,37.593695,21900000,6
76,95.0,50.3,10.6,55.749511,37.537083,22700000,5
9,12.0,51.6,9.5,55.789826,37.638539,11600000,4
2,16.0,51.6,8.5,55.740735,37.648088,13200000,5
13,14.0,52.0,9.5,55.769874,37.675595,13700000,4
8,16.0,50.4,10.0,55.774305000000005,37.642132,13850000,5
4,9.0,50.0,11.0,55.770573,37.562955,13900000,1
3,7.0,50.0,8.0,55.775965,37.672495,13950000,1
1,12.0,52.0,9.0,55.787346,37.590012,14500000,3
2,9.0,52.1,8.0,55.746015,37.578064000000005,15200000,1
6,9.0,52.3,7.0,55.775545,37.672118,15610000,2
12,18.0,53.0,14.0,55.77120600000001,37.658212,14700000,5
20,24.0,54.0,7.0,55.753154,37.594036,18990000,3
5,8.0,54.0,9.0,55.744875,37.679044,13000000,1
6,6.0,53.0,8.0,55.786738,37.633176,15000000,1
4,9.0,54.9,7.9,55.737137,37.651322,18500000,6
36,46.0,54.8,10.0,55.75133,37.526887,20500000,5
5,5.0,54.0,6.2,55.735155000000006,37.589195,14000000,1
45,46.0,54.3,9.0,55.75133,37.526887,20500000,5
5,10.0,54.0,10.0,55.787811,37.640668,14500000,4
7,8.0,54.9,5.3,55.772639,37.585754,15500000,1
12,16.0,54.0,7.0,55.746056,37.593542,16500000,3
4,14.0,54.6,10.0,55.721447,37.626241,17799000,2
1,6.0,53.3,9.0,55.765478,37.595833,18990000,1
3,7.0,54.2,14.0,55.775545,37.672118,19182806,5
45,46.0,54.3,10.0,55.749795,37.526016,20000000,5
4,4.0,53.6,10.0,55.754294,37.587533,21999000,1
10,21.0,53.0,10.0,55.761771,37.549184,23900000,5
6,8.0,54.6,7.0,55.738916,37.58464,26800000,1
2,14.0,53.0,8.0,55.733183,37.683922,11350000,1
7,12.0,53.0,9.0,55.740618000000005,37.66645,13990000,3
4,5.0,53.0,5.0,55.774629,37.627696,13950000,1
5,5.0,54.5,6.5,55.774467,37.581613,15500000,6
11,12.0,53.8,10.0,55.76786800000001,37.555849,17000000,1
74,97.0,54.4,14.0,55.749511,37.537083,30000000,5
8,14.0,56.0,9.0,55.779347,37.611437,20100000,1
11,21.0,56.4,20.0,55.761629000000006,37.548151,31000000,5
2,9.0,57.5,9.0,55.776877,37.659371,15300000,6
2,4.0,57.4,10.7,55.74865500000001,37.656478,15250000,1
5,14.0,55.0,8.0,55.76463199999999,37.582592,16300000,1
4,21.0,57.0,26.8,55.755464,37.547342,23000000,5
11,21.0,55.57,18.8,55.761771,37.549184,25950000,5
2,12.0,57.5,8.0,55.732656000000006,37.587919,33000000,1
3,5.0,56.2,7.0,55.72503199999999,37.57563,18300000,1
7,14.0,56.0,8.4,55.757561,37.588844,26300000,1
6,9.0,55.0,5.0,55.773768,37.68791,14300000,1
7,17.0,57.9,12.9,55.741825,37.681074,14500000,3
5,12.0,55.0,10.0,55.787811,37.640668,14500000,4
4,11.0,55.0,10.0,55.784805000000006,37.656667,14990000,5
2,9.0,57.4,8.0,55.776877,37.659371,15300000,6
6,7.0,57.8,9.0,55.765083,37.655526,17300000,6
2,5.0,56.0,7.0,55.773024,37.595582,17600000,6
5,6.0,56.0,8.0,55.787943000000006,37.592105,17900000,1
15,16.0,56.0,14.0,55.774305000000005,37.642132,18500000,2
6,8.0,55.0,8.0,55.737137,37.651322,18900000,1
24,24.0,55.0,8.0,55.753058,37.58579,19100000,3
6,6.0,57.2,7.0,55.755023,37.59842,19900000,1
45,46.0,55.0,9.0,55.75133,37.526887,19998999,5
3,9.0,56.5,8.9,55.77709399999999,37.709731,11000000,1
8,9.0,56.0,6.0,55.75811899999999,37.538548,11800000,1
4,5.0,56.4,10.0,55.753387,37.544306,13100000,1
2,9.0,57.7,5.4,55.767357,37.556092,13500000,1
5,7.0,56.4,13.7,55.783509,37.670303,15000000,5
4,6.0,55.0,9.0,55.790246,37.632655,16500000,4
12,46.0,56.0,9.0,55.75133,37.526887,17000000,5
9,9.0,56.0,5.2,55.724642,37.572342,17500000,1
5,5.0,55.1,6.0,55.75129,37.579277000000005,17700000,1
9,14.0,55.7,9.5,55.721447,37.626241,17600000,1
1,5.0,57.0,7.0,55.737193000000005,37.623573,17950000,1
5,5.0,58.0,9.0,55.763984,37.657655,14990000,5
5,5.0,58.0,27.5,55.774958,37.672971,25500000,5
8,9.0,58.0,7.0,55.783139,37.642671,10700000,3
2,8.0,58.0,6.0,55.767357,37.556092,13450000,2
11,15.0,58.4,9.0,55.780097,37.668264,16988000,6
4,8.0,58.0,10.0,55.763933,37.564401,17200000,1
2,8.0,59.0,10.0,55.73925,37.643704,18890000,1
1,9.0,59.2,11.0,55.76794399999999,37.582781,20128000,5
4,9.0,58.4,6.0,55.731901,37.615668,22500000,1
4,9.0,58.4,5.0,55.731901,37.615668,22500000,3
3,14.0,58.1,10.0,55.786703,37.617474,38000000,5
2,16.0,58.0,11.0,55.771925,37.572369,15700000,1
3,8.0,60.0,7.0,55.77813199999999,37.598169,19800000,1
7,9.0,58.0,8.5,55.775054,37.588054,20850000,1
4,7.0,60.0,8.0,55.761041000000006,37.573366,21000000,6
9,25.0,58.7,21.5,55.758402,37.549282,21300000,5
11,14.0,59.4,7.6,55.734151,37.61892,23000000,3
3,4.0,60.0,9.0,55.769048,37.604322,26000000,1
4,10.0,58.0,22.7,55.783357,37.599381,35600000,5
7,10.0,58.0,7.0,55.730826,37.631559,19800000,1
2,6.0,62.0,10.0,55.746203,37.636437,36900000,5
5,5.0,62.0,20.0,55.759436,37.605733,24940000,2
5,5.0,62.0,20.0,55.759436,37.605733,24950000,1
9,79.0,62.0,12.0,55.751143000000006,37.533733000000005,27192000,5
7,79.0,62.0,12.0,55.751143000000006,37.533733000000005,27013500,5
6,8.0,60.0,9.0,55.722107,37.57669,22200000,1
8,11.0,62.9,12.0,55.725118,37.572836,41000000,5
1,4.0,61.7,7.0,55.72961,37.571363,18500000,1
1,7.0,60.0,8.0,55.75661899999999,37.65399,19000000,1
12,12.0,60.0,8.0,55.74446,37.613018,50000000,1
1,5.0,62.0,6.6,55.73256,37.663737,12300000,1
4,12.0,62.7,7.5,55.734846,37.679278,14490000,3
1,5.0,62.4,7.0,55.78938,37.597782,14800000,1
5,5.0,60.0,9.0,55.779028,37.60964,15000000,1
4,7.0,60.3,8.6,55.766466,37.640668,17500000,1
4,5.0,60.2,11.1,55.774259,37.593021,17700000,1
1,4.0,61.7,7.0,55.72961,37.571363,18500000,1
3,6.0,62.0,7.0,55.758575,37.579098,20800000,1
2,10.0,60.0,25.0,55.766116,37.567051,23000000,5
4,6.0,60.0,7.0,55.761173,37.599507,25000000,1
10,21.0,62.0,10.0,55.761644,37.550567,26850000,5
5,13.0,60.0,10.0,55.763630000000006,37.610799,27000000,1
7,11.0,62.4,9.7,55.716133,37.576492,28000000,1
5,6.0,60.6,9.0,55.765392000000006,37.610287,28900000,1
3,4.0,60.0,9.0,55.769048,37.604322,35000000,6
3,5.0,61.0,8.3,55.768638,37.677634000000005,13500000,1
7,12.0,60.0,7.7,55.753889,37.657305,13800000,3
